"source","target","ligand","receptor","prob","pval","interaction_name","interaction_name_2","pathway_name","annotation","evidence"
"CD4+ T cells","CD14+ Monocytes","ANXA1","FPR1",0.0311091086866154,0,"ANXA1_FPR1","ANXA1 - FPR1","ANNEXIN","Secreted Signaling","PMID: 23230437"
"CD14+ Monocytes","CD14+ Monocytes","ANXA1","FPR1",0.0785346123685017,0,"ANXA1_FPR1","ANXA1 - FPR1","ANNEXIN","Secreted Signaling","PMID: 23230437"
"NK cells","CD14+ Monocytes","ANXA1","FPR1",0.0845481218936647,0,"ANXA1_FPR1","ANXA1 - FPR1","ANNEXIN","Secreted Signaling","PMID: 23230437"
"NKT cells","CD14+ Monocytes","ANXA1","FPR1",0.0819920474374266,0,"ANXA1_FPR1","ANXA1 - FPR1","ANNEXIN","Secreted Signaling","PMID: 23230437"
"Unknown","CD14+ Monocytes","ANXA1","FPR1",0.0733137366354238,0,"ANXA1_FPR1","ANXA1 - FPR1","ANNEXIN","Secreted Signaling","PMID: 23230437"
"CD4+ T cells","NK cells","LCK","CD8 receptor",0.032817190775187,0.03,"LCK_CD8A_CD8B1","LCK - (CD8A+CD8B1)","LCK","Cell-Cell Contact","PMID: 25427562"
"NK cells","NK cells","LCK","CD8 receptor",0.0863809722588666,0,"LCK_CD8A_CD8B1","LCK - (CD8A+CD8B1)","LCK","Cell-Cell Contact","PMID: 25427562"
"NKT cells","NK cells","LCK","CD8 receptor",0.084710843434096,0,"LCK_CD8A_CD8B1","LCK - (CD8A+CD8B1)","LCK","Cell-Cell Contact","PMID: 25427562"
"Unknown","NK cells","LCK","CD8 receptor",0.0731422279722935,0,"LCK_CD8A_CD8B1","LCK - (CD8A+CD8B1)","LCK","Cell-Cell Contact","PMID: 25427562"
"NK cells","NKT cells","LCK","CD8 receptor",0.142190861226237,0,"LCK_CD8A_CD8B1","LCK - (CD8A+CD8B1)","LCK","Cell-Cell Contact","PMID: 25427562"
"NKT cells","NKT cells","LCK","CD8 receptor",0.139606564727904,0,"LCK_CD8A_CD8B1","LCK - (CD8A+CD8B1)","LCK","Cell-Cell Contact","PMID: 25427562"
"Unknown","NKT cells","LCK","CD8 receptor",0.121536536647352,0,"LCK_CD8A_CD8B1","LCK - (CD8A+CD8B1)","LCK","Cell-Cell Contact","PMID: 25427562"
"B","NK cells","HLA-A","CD8A",0.123253281630147,0,"HLA-A_CD8A","HLA-A - CD8A","MHC-I","Cell-Cell Contact","KEGG: hsa04514"
"CD4+ T cells","NK cells","HLA-A","CD8A",0.128394769689233,0,"HLA-A_CD8A","HLA-A - CD8A","MHC-I","Cell-Cell Contact","KEGG: hsa04514"
"NK cells","NK cells","HLA-A","CD8A",0.123601734166635,0,"HLA-A_CD8A","HLA-A - CD8A","MHC-I","Cell-Cell Contact","KEGG: hsa04514"
"NKT cells","NK cells","HLA-A","CD8A",0.123301294438987,0,"HLA-A_CD8A","HLA-A - CD8A","MHC-I","Cell-Cell Contact","KEGG: hsa04514"
"CD4+ T cells","NKT cells","HLA-A","CD8A",0.128844435880341,0,"HLA-A_CD8A","HLA-A - CD8A","MHC-I","Cell-Cell Contact","KEGG: hsa04514"
"B","NK cells","HLA-B","CD8A",0.124609071443556,0,"HLA-B_CD8A","HLA-B - CD8A","MHC-I","Cell-Cell Contact","KEGG: hsa04514"
"CD4+ T cells","NK cells","HLA-B","CD8A",0.12929658960613,0,"HLA-B_CD8A","HLA-B - CD8A","MHC-I","Cell-Cell Contact","KEGG: hsa04514"
"NK cells","NK cells","HLA-B","CD8A",0.124293159298976,0,"HLA-B_CD8A","HLA-B - CD8A","MHC-I","Cell-Cell Contact","KEGG: hsa04514"
