"source","target","ligand","receptor","prob","pval","interaction_name","interaction_name_2","pathway_name","annotation","evidence"
"Platelets","Plasma B","PF4","CXCR3",0.187115707127609,0,"PF4_CXCR3","PF4 - CXCR3","CXCL","Secreted Signaling","KEGG: hsa04060"
"CD4+ T cells","CD14+ Monocytes","ANXA1","FPR1",0.0492042111507114,0,"ANXA1_FPR1","ANXA1 - FPR1","ANNEXIN","Secreted Signaling","PMID: 23230437"
"CD8+ T cells","CD14+ Monocytes","ANXA1","FPR1",0.0493010393248492,0,"ANXA1_FPR1","ANXA1 - FPR1","ANNEXIN","Secreted Signaling","PMID: 23230437"
"CD14+ Monocytes","CD14+ Monocytes","ANXA1","FPR1",0.126362646643807,0,"ANXA1_FPR1","ANXA1 - FPR1","ANNEXIN","Secreted Signaling","PMID: 23230437"
"NK cells","CD14+ Monocytes","ANXA1","FPR1",0.0489432550579823,0,"ANXA1_FPR1","ANXA1 - FPR1","ANNEXIN","Secreted Signaling","PMID: 23230437"
"CD14+ Monocytes","CD14+ Monocytes","THBS1","CD36",0.125827972732763,0,"THBS1_CD36","THBS1 - CD36","THBS","ECM-Receptor","KEGG: hsa04512"
"CD16+ Monocytes","CD14+ Monocytes","THBS1","CD36",0.0467282392935942,0,"THBS1_CD36","THBS1 - CD36","THBS","ECM-Receptor","KEGG: hsa04512"
"CD14+ Monocytes","B","THBS1","CD47",0.136326055229907,0,"THBS1_CD47","THBS1 - CD47","THBS","ECM-Receptor","KEGG: hsa04512"
"CD16+ Monocytes","B","THBS1","CD47",0.051011979367736,0.02,"THBS1_CD47","THBS1 - CD47","THBS","ECM-Receptor","KEGG: hsa04512"
"CD14+ Monocytes","CD4+ T cells","THBS1","CD47",0.136967968848405,0,"THBS1_CD47","THBS1 - CD47","THBS","ECM-Receptor","KEGG: hsa04512"
"CD16+ Monocytes","CD4+ T cells","THBS1","CD47",0.0512760273522015,0.04,"THBS1_CD47","THBS1 - CD47","THBS","ECM-Receptor","KEGG: hsa04512"
"CD14+ Monocytes","CD8+ T cells","THBS1","CD47",0.136752874233775,0,"THBS1_CD47","THBS1 - CD47","THBS","ECM-Receptor","KEGG: hsa04512"
"CD16+ Monocytes","CD8+ T cells","THBS1","CD47",0.051187521876918,0.03,"THBS1_CD47","THBS1 - CD47","THBS","ECM-Receptor","KEGG: hsa04512"
"CD14+ Monocytes","NK cells","THBS1","CD47",0.136576312523468,0,"THBS1_CD47","THBS1 - CD47","THBS","ECM-Receptor","KEGG: hsa04512"
"CD16+ Monocytes","NK cells","THBS1","CD47",0.0511148922454669,0.03,"THBS1_CD47","THBS1 - CD47","THBS","ECM-Receptor","KEGG: hsa04512"
"CD14+ Monocytes","Plasma B","THBS1","CD47",0.119735236651349,0,"THBS1_CD47","THBS1 - CD47","THBS","ECM-Receptor","KEGG: hsa04512"
"CD14+ Monocytes","Platelets","THBS1","CD47",0.0380075334489009,0,"THBS1_CD47","THBS1 - CD47","THBS","ECM-Receptor","KEGG: hsa04512"
"Plasma B","CD8+ T cells","ICAM2","ITGAL_ITGB2",0.077064881542441,0,"ICAM2_ITGAL_ITGB2","ICAM2 - (ITGAL+ITGB2)","ICAM","Cell-Cell Contact","KEGG: hsa04514"
"Plasma B","NK cells","ICAM2","ITGAL_ITGB2",0.0886595782954904,0,"ICAM2_ITGAL_ITGB2","ICAM2 - (ITGAL+ITGB2)","ICAM","Cell-Cell Contact","KEGG: hsa04514"
"Plasma B","CD14+ Monocytes","ICAM2","ITGAM_ITGB2",0.0765721374909244,0,"ICAM2_ITGAM_ITGB2","ICAM2 - (ITGAM+ITGB2)","ICAM","Cell-Cell Contact","KEGG: hsa04514"
"Plasma B","CD16+ Monocytes","ICAM2","ITGAM_ITGB2",0.0753887022258976,0,"ICAM2_ITGAM_ITGB2","ICAM2 - (ITGAM+ITGB2)","ICAM","Cell-Cell Contact","KEGG: hsa04514"
"B","Plasma B","ITGB2","ICAM2",0.0443987411949729,0,"ITGB2_ICAM2","ITGB2 - ICAM2","ITGB2","Cell-Cell Contact","KEGG: hsa04514"
"CD4+ T cells","Plasma B","ITGB2","ICAM2",0.0473499813071774,0,"ITGB2_ICAM2","ITGB2 - ICAM2","ITGB2","Cell-Cell Contact","KEGG: hsa04514"
"CD8+ T cells","Plasma B","ITGB2","ICAM2",0.130157999452389,0,"ITGB2_ICAM2","ITGB2 - ICAM2","ITGB2","Cell-Cell Contact","KEGG: hsa04514"
"CD14+ Monocytes","Plasma B","ITGB2","ICAM2",0.128198580942055,0,"ITGB2_ICAM2","ITGB2 - ICAM2","ITGB2","Cell-Cell Contact","KEGG: hsa04514"
"CD16+ Monocytes","Plasma B","ITGB2","ICAM2",0.127294756438614,0,"ITGB2_ICAM2","ITGB2 - ICAM2","ITGB2","Cell-Cell Contact","KEGG: hsa04514"
"NK cells","Plasma B","ITGB2","ICAM2",0.165867599321747,0,"ITGB2_ICAM2","ITGB2 - ICAM2","ITGB2","Cell-Cell Contact","KEGG: hsa04514"
"Plasma B","Plasma B","ITGB2","ICAM2",0.0386750117474863,0,"ITGB2_ICAM2","ITGB2 - ICAM2","ITGB2","Cell-Cell Contact","KEGG: hsa04514"
"CD4+ T cells","CD8+ T cells","LCK","CD8 receptor",0.0512643385429781,0,"LCK_CD8A_CD8B1","LCK - (CD8A+CD8B1)","LCK","Cell-Cell Contact","PMID: 25427562"
"CD8+ T cells","CD8+ T cells","LCK","CD8 receptor",0.051029930515832,0,"LCK_CD8A_CD8B1","LCK - (CD8A+CD8B1)","LCK","Cell-Cell Contact","PMID: 25427562"
"NK cells","CD8+ T cells","LCK","CD8 receptor",0.0506524393244321,0,"LCK_CD8A_CD8B1","LCK - (CD8A+CD8B1)","LCK","Cell-Cell Contact","PMID: 25427562"
"B","CD8+ T cells","HLA-A","CD8A",0.185055742241849,0,"HLA-A_CD8A","HLA-A - CD8A","MHC-I","Cell-Cell Contact","KEGG: hsa04514"
"CD4+ T cells","CD8+ T cells","HLA-A","CD8A",0.189656030293343,0,"HLA-A_CD8A","HLA-A - CD8A","MHC-I","Cell-Cell Contact","KEGG: hsa04514"
"CD8+ T cells","CD8+ T cells","HLA-A","CD8A",0.189410485846883,0,"HLA-A_CD8A","HLA-A - CD8A","MHC-I","Cell-Cell Contact","KEGG: hsa04514"
"CD14+ Monocytes","CD8+ T cells","HLA-A","CD8A",0.178723549797934,0,"HLA-A_CD8A","HLA-A - CD8A","MHC-I","Cell-Cell Contact","KEGG: hsa04514"
"CD16+ Monocytes","CD8+ T cells","HLA-A","CD8A",0.165103226219928,0,"HLA-A_CD8A","HLA-A - CD8A","MHC-I","Cell-Cell Contact","KEGG: hsa04514"
"Erythrocytes","CD8+ T cells","HLA-A","CD8A",0.058046530902692,0,"HLA-A_CD8A","HLA-A - CD8A","MHC-I","Cell-Cell Contact","KEGG: hsa04514"
"NK cells","CD8+ T cells","HLA-A","CD8A",0.189576647997165,0,"HLA-A_CD8A","HLA-A - CD8A","MHC-I","Cell-Cell Contact","KEGG: hsa04514"
"Plasma B","CD8+ T cells","HLA-A","CD8A",0.188921548160412,0,"HLA-A_CD8A","HLA-A - CD8A","MHC-I","Cell-Cell Contact","KEGG: hsa04514"
"Platelets","CD8+ T cells","HLA-A","CD8A",0.196145231150026,0,"HLA-A_CD8A","HLA-A - CD8A","MHC-I","Cell-Cell Contact","KEGG: hsa04514"
"B","CD8+ T cells","HLA-B","CD8A",0.190774611005074,0,"HLA-B_CD8A","HLA-B - CD8A","MHC-I","Cell-Cell Contact","KEGG: hsa04514"
"CD4+ T cells","CD8+ T cells","HLA-B","CD8A",0.192854242818601,0,"HLA-B_CD8A","HLA-B - CD8A","MHC-I","Cell-Cell Contact","KEGG: hsa04514"
"CD8+ T cells","CD8+ T cells","HLA-B","CD8A",0.192980153422,0,"HLA-B_CD8A","HLA-B - CD8A","MHC-I","Cell-Cell Contact","KEGG: hsa04514"
"CD14+ Monocytes","CD8+ T cells","HLA-B","CD8A",0.189519057601359,0,"HLA-B_CD8A","HLA-B - CD8A","MHC-I","Cell-Cell Contact","KEGG: hsa04514"
"CD16+ Monocytes","CD8+ T cells","HLA-B","CD8A",0.194199310798197,0,"HLA-B_CD8A","HLA-B - CD8A","MHC-I","Cell-Cell Contact","KEGG: hsa04514"
"Erythrocytes","CD8+ T cells","HLA-B","CD8A",0.0604854542444247,0,"HLA-B_CD8A","HLA-B - CD8A","MHC-I","Cell-Cell Contact","KEGG: hsa04514"
"NK cells","CD8+ T cells","HLA-B","CD8A",0.192955869566849,0,"HLA-B_CD8A","HLA-B - CD8A","MHC-I","Cell-Cell Contact","KEGG: hsa04514"
"Plasma B","CD8+ T cells","HLA-B","CD8A",0.193175620065266,0,"HLA-B_CD8A","HLA-B - CD8A","MHC-I","Cell-Cell Contact","KEGG: hsa04514"
"Platelets","CD8+ T cells","HLA-B","CD8A",0.196578844432665,0,"HLA-B_CD8A","HLA-B - CD8A","MHC-I","Cell-Cell Contact","KEGG: hsa04514"
"B","CD8+ T cells","HLA-C","CD8A",0.185713042028204,0,"HLA-C_CD8A","HLA-C - CD8A","MHC-I","Cell-Cell Contact","KEGG: hsa04514"
"CD4+ T cells","CD8+ T cells","HLA-C","CD8A",0.187841465718696,0,"HLA-C_CD8A","HLA-C - CD8A","MHC-I","Cell-Cell Contact","KEGG: hsa04514"
"CD8+ T cells","CD8+ T cells","HLA-C","CD8A",0.187780549202567,0,"HLA-C_CD8A","HLA-C - CD8A","MHC-I","Cell-Cell Contact","KEGG: hsa04514"
"CD14+ Monocytes","CD8+ T cells","HLA-C","CD8A",0.179273497621412,0,"HLA-C_CD8A","HLA-C - CD8A","MHC-I","Cell-Cell Contact","KEGG: hsa04514"
"CD16+ Monocytes","CD8+ T cells","HLA-C","CD8A",0.186745671151467,0,"HLA-C_CD8A","HLA-C - CD8A","MHC-I","Cell-Cell Contact","KEGG: hsa04514"
"NK cells","CD8+ T cells","HLA-C","CD8A",0.187741814091995,0,"HLA-C_CD8A","HLA-C - CD8A","MHC-I","Cell-Cell Contact","KEGG: hsa04514"
"Plasma B","CD8+ T cells","HLA-C","CD8A",0.186122824537562,0,"HLA-C_CD8A","HLA-C - CD8A","MHC-I","Cell-Cell Contact","KEGG: hsa04514"
"Platelets","CD8+ T cells","HLA-C","CD8A",0.192720626907073,0,"HLA-C_CD8A","HLA-C - CD8A","MHC-I","Cell-Cell Contact","KEGG: hsa04514"
"CD8+ T cells","CD8+ T cells","HLA-F","CD8A",0.0512143983856632,0,"HLA-F_CD8A","HLA-F - CD8A","MHC-I","Cell-Cell Contact","KEGG: hsa04514"
"CD16+ Monocytes","CD8+ T cells","HLA-F","CD8A",0.0227883121284007,0,"HLA-F_CD8A","HLA-F - CD8A","MHC-I","Cell-Cell Contact","KEGG: hsa04514"
"NK cells","CD8+ T cells","HLA-F","CD8A",0.0513321262202092,0,"HLA-F_CD8A","HLA-F - CD8A","MHC-I","Cell-Cell Contact","KEGG: hsa04514"
"Plasma B","CD8+ T cells","HLA-F","CD8A",0.0410390696283098,0,"HLA-F_CD8A","HLA-F - CD8A","MHC-I","Cell-Cell Contact","KEGG: hsa04514"
"B","CD8+ T cells","HLA-A","CD8B",0.182486374673491,0,"HLA-A_CD8B","HLA-A - CD8B","MHC-I","Cell-Cell Contact","KEGG: hsa04514"
"CD4+ T cells","CD8+ T cells","HLA-A","CD8B",0.187037450161713,0,"HLA-A_CD8B","HLA-A - CD8B","MHC-I","Cell-Cell Contact","KEGG: hsa04514"
"CD8+ T cells","CD8+ T cells","HLA-A","CD8B",0.186794514455436,0,"HLA-A_CD8B","HLA-A - CD8B","MHC-I","Cell-Cell Contact","KEGG: hsa04514"
"CD14+ Monocytes","CD8+ T cells","HLA-A","CD8B",0.176223088887026,0,"HLA-A_CD8B","HLA-A - CD8B","MHC-I","Cell-Cell Contact","KEGG: hsa04514"
"CD16+ Monocytes","CD8+ T cells","HLA-A","CD8B",0.16275555916832,0,"HLA-A_CD8B","HLA-A - CD8B","MHC-I","Cell-Cell Contact","KEGG: hsa04514"
"Erythrocytes","CD8+ T cells","HLA-A","CD8B",0.0571170023243107,0,"HLA-A_CD8B","HLA-A - CD8B","MHC-I","Cell-Cell Contact","KEGG: hsa04514"
"NK cells","CD8+ T cells","HLA-A","CD8B",0.186958911025259,0,"HLA-A_CD8B","HLA-A - CD8B","MHC-I","Cell-Cell Contact","KEGG: hsa04514"
