"source","target","ligand","receptor","prob","pval","interaction_name","interaction_name_2","pathway_name","annotation","evidence"
"CD4+ T cells","CD14+ Monocytes","ANXA1","FPR1",0.0499366835503224,0,"ANXA1_FPR1","ANXA1 - FPR1","ANNEXIN","Secreted Signaling","PMID: 23230437"
"CD8+ T cells","CD14+ Monocytes","ANXA1","FPR1",0.131747216695034,0,"ANXA1_FPR1","ANXA1 - FPR1","ANNEXIN","Secreted Signaling","PMID: 23230437"
"CD14+ Monocytes","CD14+ Monocytes","ANXA1","FPR1",0.134485790404613,0,"ANXA1_FPR1","ANXA1 - FPR1","ANNEXIN","Secreted Signaling","PMID: 23230437"
"CD16+ Monocytes","CD14+ Monocytes","ANXA1","FPR1",0.0481217384338804,0,"ANXA1_FPR1","ANXA1 - FPR1","ANNEXIN","Secreted Signaling","PMID: 23230437"
"NK cells","CD14+ Monocytes","ANXA1","FPR1",0.133351654191941,0,"ANXA1_FPR1","ANXA1 - FPR1","ANNEXIN","Secreted Signaling","PMID: 23230437"
"Platelets","B","APP","CD74",0.213448298272539,0,"APP_CD74","APP - CD74","APP","Cell-Cell Contact","PMID: 19849849"
"Platelets","CD4+ T cells","APP","CD74",0.0587326521029982,0,"APP_CD74","APP - CD74","APP","Cell-Cell Contact","PMID: 19849849"
"Platelets","CD8+ T cells","APP","CD74",0.152019756725849,0,"APP_CD74","APP - CD74","APP","Cell-Cell Contact","PMID: 19849849"
"Platelets","CD14+ Monocytes","APP","CD74",0.201250083169761,0,"APP_CD74","APP - CD74","APP","Cell-Cell Contact","PMID: 19849849"
"Platelets","CD16+ Monocytes","APP","CD74",0.199753585865839,0,"APP_CD74","APP - CD74","APP","Cell-Cell Contact","PMID: 19849849"
"Platelets","NK cells","APP","CD74",0.154592972357165,0,"APP_CD74","APP - CD74","APP","Cell-Cell Contact","PMID: 19849849"
"Platelets","Plasma B","APP","CD74",0.0643645627752709,0,"APP_CD74","APP - CD74","APP","Cell-Cell Contact","PMID: 19849849"
