"source","target","ligand","receptor","prob","pval","interaction_name","interaction_name_2","pathway_name","annotation","evidence"
"CD10+ B cells","CD14+ Monocytes","CCL5","CCR1",0.0294325889549835,0,"CCL5_CCR1","CCL5 - CCR1","CCL","Secreted Signaling","KEGG: hsa04060"
"Erythrocytes","CD14+ Monocytes","CCL5","CCR1",0.0386872594022295,0,"CCL5_CCR1","CCL5 - CCR1","CCL","Secreted Signaling","KEGG: hsa04060"
"Erythroid progenitors","CD14+ Monocytes","CCL5","CCR1",0.0747626626429422,0,"CCL5_CCR1","CCL5 - CCR1","CCL","Secreted Signaling","KEGG: hsa04060"
"HSPCs","CD14+ Monocytes","CCL5","CCR1",0.0322273754938134,0,"CCL5_CCR1","CCL5 - CCR1","CCL","Secreted Signaling","KEGG: hsa04060"
"Megakaryocyte progenitors","CD14+ Monocytes","CCL5","CCR1",0.0789624958576562,0,"CCL5_CCR1","CCL5 - CCR1","CCL","Secreted Signaling","KEGG: hsa04060"
"Monocyte progenitors","CD14+ Monocytes","CCL5","CCR1",0.0316341355835478,0,"CCL5_CCR1","CCL5 - CCR1","CCL","Secreted Signaling","KEGG: hsa04060"
"Monocyte-derived dendritic cells","CD14+ Monocytes","CCL5","CCR1",0.0285423562709414,0,"CCL5_CCR1","CCL5 - CCR1","CCL","Secreted Signaling","KEGG: hsa04060"
"NK cells","CD14+ Monocytes","CCL5","CCR1",0.165622297936011,0,"CCL5_CCR1","CCL5 - CCR1","CCL","Secreted Signaling","KEGG: hsa04060"
"NKT cells","CD14+ Monocytes","CCL5","CCR1",0.168764303108958,0,"CCL5_CCR1","CCL5 - CCR1","CCL","Secreted Signaling","KEGG: hsa04060"
"Plasma cells","CD14+ Monocytes","CCL5","CCR1",0.0889761032275516,0,"CCL5_CCR1","CCL5 - CCR1","CCL","Secreted Signaling","KEGG: hsa04060"
"CD14+ Monocytes","CD14+ Monocytes","CCL3","CCR1",0.038009138849123,0,"CCL3_CCR1","CCL3 - CCR1","CCL","Secreted Signaling","KEGG: hsa04060"
"Erythroid progenitors","CD14+ Monocytes","CCL3","CCR1",0.0112248563514962,0,"CCL3_CCR1","CCL3 - CCR1","CCL","Secreted Signaling","KEGG: hsa04060"
"Monocyte progenitors","CD14+ Monocytes","CCL3","CCR1",0.0344929661209899,0,"CCL3_CCR1","CCL3 - CCR1","CCL","Secreted Signaling","KEGG: hsa04060"
"Monocyte-derived dendritic cells","CD14+ Monocytes","CCL3","CCR1",0.0299167859555501,0,"CCL3_CCR1","CCL3 - CCR1","CCL","Secreted Signaling","KEGG: hsa04060"
"Plasma cells","CD14+ Monocytes","CCL3","CCR1",0.0354629998246532,0,"CCL3_CCR1","CCL3 - CCR1","CCL","Secreted Signaling","KEGG: hsa04060"
"Megakaryocyte progenitors","Plasmacytoid dendritic cells","PF4","CXCR3",0.0799757549216554,0,"PF4_CXCR3","PF4 - CXCR3","CXCL","Secreted Signaling","KEGG: hsa04060"
"B","B","MIF","CD74_CXCR4",0.185770394148428,0,"MIF_CD74_CXCR4","MIF - (CD74+CXCR4)","MIF","Secreted Signaling","PMID: 29637711; PMID: 24760155"
"CD4+ T cells","B","MIF","CD74_CXCR4",0.402610775724165,0,"MIF_CD74_CXCR4","MIF - (CD74+CXCR4)","MIF","Secreted Signaling","PMID: 29637711; PMID: 24760155"
"CD8+ T cells","B","MIF","CD74_CXCR4",0.411327826074549,0,"MIF_CD74_CXCR4","MIF - (CD74+CXCR4)","MIF","Secreted Signaling","PMID: 29637711; PMID: 24760155"
"CD10+ B cells","B","MIF","CD74_CXCR4",0.475337127766454,0,"MIF_CD74_CXCR4","MIF - (CD74+CXCR4)","MIF","Secreted Signaling","PMID: 29637711; PMID: 24760155"
"CD14+ Monocytes","B","MIF","CD74_CXCR4",0.154646513031833,0.02,"MIF_CD74_CXCR4","MIF - (CD74+CXCR4)","MIF","Secreted Signaling","PMID: 29637711; PMID: 24760155"
"CD16+ Monocytes","B","MIF","CD74_CXCR4",0.156936517436081,0,"MIF_CD74_CXCR4","MIF - (CD74+CXCR4)","MIF","Secreted Signaling","PMID: 29637711; PMID: 24760155"
"Erythroid progenitors","B","MIF","CD74_CXCR4",0.445727485844845,0,"MIF_CD74_CXCR4","MIF - (CD74+CXCR4)","MIF","Secreted Signaling","PMID: 29637711; PMID: 24760155"
"HSPCs","B","MIF","CD74_CXCR4",0.480031250224999,0,"MIF_CD74_CXCR4","MIF - (CD74+CXCR4)","MIF","Secreted Signaling","PMID: 29637711; PMID: 24760155"
"Megakaryocyte progenitors","B","MIF","CD74_CXCR4",0.490845267065105,0,"MIF_CD74_CXCR4","MIF - (CD74+CXCR4)","MIF","Secreted Signaling","PMID: 29637711; PMID: 24760155"
