"source","target","ligand","receptor","prob","pval","interaction_name","interaction_name_2","pathway_name","annotation","evidence"
"CD10+ B cells","CD14+ Monocytes","CCL5","CCR1",0.00970823893080998,0,"CCL5_CCR1","CCL5 - CCR1","CCL","Secreted Signaling","KEGG: hsa04060"
"Erythrocytes","CD14+ Monocytes","CCL5","CCR1",0.0170327600290573,0,"CCL5_CCR1","CCL5 - CCR1","CCL","Secreted Signaling","KEGG: hsa04060"
"Erythroid progenitors","CD14+ Monocytes","CCL5","CCR1",0.0235984990136244,0,"CCL5_CCR1","CCL5 - CCR1","CCL","Secreted Signaling","KEGG: hsa04060"
"HSPCs","CD14+ Monocytes","CCL5","CCR1",0.0110570948362525,0,"CCL5_CCR1","CCL5 - CCR1","CCL","Secreted Signaling","KEGG: hsa04060"
"Megakaryocyte progenitors","CD14+ Monocytes","CCL5","CCR1",0.0258957455142482,0,"CCL5_CCR1","CCL5 - CCR1","CCL","Secreted Signaling","KEGG: hsa04060"
"Monocyte progenitors","CD14+ Monocytes","CCL5","CCR1",0.0109906895749307,0,"CCL5_CCR1","CCL5 - CCR1","CCL","Secreted Signaling","KEGG: hsa04060"
"Monocyte-derived dendritic cells","CD14+ Monocytes","CCL5","CCR1",0.00902012542905745,0,"CCL5_CCR1","CCL5 - CCR1","CCL","Secreted Signaling","KEGG: hsa04060"
"NK cells","CD14+ Monocytes","CCL5","CCR1",0.0678162571182409,0,"CCL5_CCR1","CCL5 - CCR1","CCL","Secreted Signaling","KEGG: hsa04060"
"NKT cells","CD14+ Monocytes","CCL5","CCR1",0.0687351364560262,0,"CCL5_CCR1","CCL5 - CCR1","CCL","Secreted Signaling","KEGG: hsa04060"
"Plasma cells","CD14+ Monocytes","CCL5","CCR1",0.030333681952331,0,"CCL5_CCR1","CCL5 - CCR1","CCL","Secreted Signaling","KEGG: hsa04060"
"CD14+ Monocytes","CD14+ Monocytes","CCL3","CCR1",0.0128483069248272,0,"CCL3_CCR1","CCL3 - CCR1","CCL","Secreted Signaling","KEGG: hsa04060"
"Erythroid progenitors","CD14+ Monocytes","CCL3","CCR1",0.00328167132275404,0,"CCL3_CCR1","CCL3 - CCR1","CCL","Secreted Signaling","KEGG: hsa04060"
"Monocyte progenitors","CD14+ Monocytes","CCL3","CCR1",0.0126753184347965,0,"CCL3_CCR1","CCL3 - CCR1","CCL","Secreted Signaling","KEGG: hsa04060"
"Monocyte-derived dendritic cells","CD14+ Monocytes","CCL3","CCR1",0.00938441762503001,0,"CCL3_CCR1","CCL3 - CCR1","CCL","Secreted Signaling","KEGG: hsa04060"
"Plasma cells","CD14+ Monocytes","CCL3","CCR1",0.0126640804036858,0,"CCL3_CCR1","CCL3 - CCR1","CCL","Secreted Signaling","KEGG: hsa04060"
"Megakaryocyte progenitors","Plasmacytoid dendritic cells","PF4","CXCR3",0.0268563861188721,0,"PF4_CXCR3","PF4 - CXCR3","CXCL","Secreted Signaling","KEGG: hsa04060"
"B","B","MIF","CD74_CXCR4",0.0931597275335169,0,"MIF_CD74_CXCR4","MIF - (CD74+CXCR4)","MIF","Secreted Signaling","PMID: 29637711; PMID: 24760155"
"CD4+ T cells","B","MIF","CD74_CXCR4",0.231676925585632,0,"MIF_CD74_CXCR4","MIF - (CD74+CXCR4)","MIF","Secreted Signaling","PMID: 29637711; PMID: 24760155"
"CD8+ T cells","B","MIF","CD74_CXCR4",0.249073652047974,0,"MIF_CD74_CXCR4","MIF - (CD74+CXCR4)","MIF","Secreted Signaling","PMID: 29637711; PMID: 24760155"
"CD10+ B cells","B","MIF","CD74_CXCR4",0.243986454162257,0,"MIF_CD74_CXCR4","MIF - (CD74+CXCR4)","MIF","Secreted Signaling","PMID: 29637711; PMID: 24760155"
"Erythroid progenitors","B","MIF","CD74_CXCR4",0.198277354812905,0,"MIF_CD74_CXCR4","MIF - (CD74+CXCR4)","MIF","Secreted Signaling","PMID: 29637711; PMID: 24760155"
"HSPCs","B","MIF","CD74_CXCR4",0.253769781407655,0,"MIF_CD74_CXCR4","MIF - (CD74+CXCR4)","MIF","Secreted Signaling","PMID: 29637711; PMID: 24760155"
"Megakaryocyte progenitors","B","MIF","CD74_CXCR4",0.231524945037159,0,"MIF_CD74_CXCR4","MIF - (CD74+CXCR4)","MIF","Secreted Signaling","PMID: 29637711; PMID: 24760155"
"Monocyte progenitors","B","MIF","CD74_CXCR4",0.275285352228925,0,"MIF_CD74_CXCR4","MIF - (CD74+CXCR4)","MIF","Secreted Signaling","PMID: 29637711; PMID: 24760155"
"Monocyte-derived dendritic cells","B","MIF","CD74_CXCR4",0.228304716227107,0,"MIF_CD74_CXCR4","MIF - (CD74+CXCR4)","MIF","Secreted Signaling","PMID: 29637711; PMID: 24760155"
"NK cells","B","MIF","CD74_CXCR4",0.103594657693535,0,"MIF_CD74_CXCR4","MIF - (CD74+CXCR4)","MIF","Secreted Signaling","PMID: 29637711; PMID: 24760155"
"NKT cells","B","MIF","CD74_CXCR4",0.225180622938502,0,"MIF_CD74_CXCR4","MIF - (CD74+CXCR4)","MIF","Secreted Signaling","PMID: 29637711; PMID: 24760155"
"Plasma cells","B","MIF","CD74_CXCR4",0.26285840810013,0,"MIF_CD74_CXCR4","MIF - (CD74+CXCR4)","MIF","Secreted Signaling","PMID: 29637711; PMID: 24760155"
"Plasmacytoid dendritic cells","B","MIF","CD74_CXCR4",0.208234477426599,0,"MIF_CD74_CXCR4","MIF - (CD74+CXCR4)","MIF","Secreted Signaling","PMID: 29637711; PMID: 24760155"
"CD4+ T cells","CD4+ T cells","MIF","CD74_CXCR4",0.17481528205043,0,"MIF_CD74_CXCR4","MIF - (CD74+CXCR4)","MIF","Secreted Signaling","PMID: 29637711; PMID: 24760155"
"CD8+ T cells","CD4+ T cells","MIF","CD74_CXCR4",0.18899252119197,0,"MIF_CD74_CXCR4","MIF - (CD74+CXCR4)","MIF","Secreted Signaling","PMID: 29637711; PMID: 24760155"
"CD10+ B cells","CD4+ T cells","MIF","CD74_CXCR4",0.184830408304763,0,"MIF_CD74_CXCR4","MIF - (CD74+CXCR4)","MIF","Secreted Signaling","PMID: 29637711; PMID: 24760155"
"Erythroid progenitors","CD4+ T cells","MIF","CD74_CXCR4",0.148033729484249,0.02,"MIF_CD74_CXCR4","MIF - (CD74+CXCR4)","MIF","Secreted Signaling","PMID: 29637711; PMID: 24760155"
"HSPCs","CD4+ T cells","MIF","CD74_CXCR4",0.192846772578256,0,"MIF_CD74_CXCR4","MIF - (CD74+CXCR4)","MIF","Secreted Signaling","PMID: 29637711; PMID: 24760155"
"Megakaryocyte progenitors","CD4+ T cells","MIF","CD74_CXCR4",0.174692121722236,0,"MIF_CD74_CXCR4","MIF - (CD74+CXCR4)","MIF","Secreted Signaling","PMID: 29637711; PMID: 24760155"
"Monocyte progenitors","CD4+ T cells","MIF","CD74_CXCR4",0.210655179327987,0,"MIF_CD74_CXCR4","MIF - (CD74+CXCR4)","MIF","Secreted Signaling","PMID: 29637711; PMID: 24760155"
"Monocyte-derived dendritic cells","CD4+ T cells","MIF","CD74_CXCR4",0.172085356134409,0,"MIF_CD74_CXCR4","MIF - (CD74+CXCR4)","MIF","Secreted Signaling","PMID: 29637711; PMID: 24760155"
"NKT cells","CD4+ T cells","MIF","CD74_CXCR4",0.169561526625182,0,"MIF_CD74_CXCR4","MIF - (CD74+CXCR4)","MIF","Secreted Signaling","PMID: 29637711; PMID: 24760155"
"Plasma cells","CD4+ T cells","MIF","CD74_CXCR4",0.200339252663486,0,"MIF_CD74_CXCR4","MIF - (CD74+CXCR4)","MIF","Secreted Signaling","PMID: 29637711; PMID: 24760155"
"Plasmacytoid dendritic cells","CD4+ T cells","MIF","CD74_CXCR4",0.155958535047272,0.02,"MIF_CD74_CXCR4","MIF - (CD74+CXCR4)","MIF","Secreted Signaling","PMID: 29637711; PMID: 24760155"
"B","CD8+ T cells","MIF","CD74_CXCR4",0.0803532045622967,0,"MIF_CD74_CXCR4","MIF - (CD74+CXCR4)","MIF","Secreted Signaling","PMID: 29637711; PMID: 24760155"
"CD4+ T cells","CD8+ T cells","MIF","CD74_CXCR4",0.204114638000121,0,"MIF_CD74_CXCR4","MIF - (CD74+CXCR4)","MIF","Secreted Signaling","PMID: 29637711; PMID: 24760155"
"CD8+ T cells","CD8+ T cells","MIF","CD74_CXCR4",0.22003441580033,0,"MIF_CD74_CXCR4","MIF - (CD74+CXCR4)","MIF","Secreted Signaling","PMID: 29637711; PMID: 24760155"
"CD10+ B cells","CD8+ T cells","MIF","CD74_CXCR4",0.215370221143042,0,"MIF_CD74_CXCR4","MIF - (CD74+CXCR4)","MIF","Secreted Signaling","PMID: 29637711; PMID: 24760155"
"Erythroid progenitors","CD8+ T cells","MIF","CD74_CXCR4",0.173789787863822,0,"MIF_CD74_CXCR4","MIF - (CD74+CXCR4)","MIF","Secreted Signaling","PMID: 29637711; PMID: 24760155"
"HSPCs","CD8+ T cells","MIF","CD74_CXCR4",0.224346604366036,0,"MIF_CD74_CXCR4","MIF - (CD74+CXCR4)","MIF","Secreted Signaling","PMID: 29637711; PMID: 24760155"
"Megakaryocyte progenitors","CD8+ T cells","MIF","CD74_CXCR4",0.203975938211856,0,"MIF_CD74_CXCR4","MIF - (CD74+CXCR4)","MIF","Secreted Signaling","PMID: 29637711; PMID: 24760155"
"Monocyte progenitors","CD8+ T cells","MIF","CD74_CXCR4",0.244183860011323,0,"MIF_CD74_CXCR4","MIF - (CD74+CXCR4)","MIF","Secreted Signaling","PMID: 29637711; PMID: 24760155"
"Monocyte-derived dendritic cells","CD8+ T cells","MIF","CD74_CXCR4",0.201038641561796,0,"MIF_CD74_CXCR4","MIF - (CD74+CXCR4)","MIF","Secreted Signaling","PMID: 29637711; PMID: 24760155"
